id,type,author,settings-instrumentType,settings-region,settings-universe,settings-delay,settings-decay,settings-neutralization,settings-truncation,settings-pasteurization,settings-unitHandling,settings-nanHandling,settings-maxTrade,settings-language,settings-visualization,settings-startDate,settings-endDate,regular-code,regular-description,regular-operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags-0,tags-1,tags-2,classifications-0-id,classifications-0-name,grade,stage,status,is-pnl,is-bookSize,is-longCount,is-shortCount,is-turnover,is-returns,is-drawdown,is-margin,is-sharpe,is-fitness,is-startDate,is-investabilityConstrained-pnl,is-investabilityConstrained-bookSize,is-investabilityConstrained-longCount,is-investabilityConstrained-shortCount,is-investabilityConstrained-turnover,is-investabilityConstrained-returns,is-investabilityConstrained-drawdown,is-investabilityConstrained-margin,is-investabilityConstrained-fitness,is-investabilityConstrained-sharpe,is-riskNeutralized-pnl,is-riskNeutralized-bookSize,is-riskNeutralized-longCount,is-riskNeutralized-shortCount,is-riskNeutralized-turnover,is-riskNeutralized-returns,is-riskNeutralized-drawdown,is-riskNeutralized-margin,is-riskNeutralized-fitness,is-riskNeutralized-sharpe,is-checks-0-name,is-checks-0-result,is-checks-0-limit,is-checks-0-value,is-checks-1-name,is-checks-1-result,is-checks-1-limit,is-checks-1-value,is-checks-2-name,is-checks-2-result,is-checks-2-limit,is-checks-2-value,is-checks-3-name,is-checks-3-result,is-checks-3-limit,is-checks-3-value,is-checks-4-name,is-checks-4-result,is-checks-4-limit,is-checks-4-value,is-checks-5-name,is-checks-5-result,is-checks-5-limit,is-checks-5-value,is-checks-6-name,is-checks-6-result,is-checks-6-date,is-checks-6-limit,is-checks-6-value,is-checks-7-name,is-checks-7-result,is-checks-7-limit,is-checks-7-value,is-checks-8-name,is-checks-8-result,is-checks-8-ratio,is-checks-8-limit,is-checks-8-value,is-checks-9-name,is-checks-9-result,is-checks-9-ratio,is-checks-9-limit,is-checks-9-value,is-checks-10-name,is-checks-10-result,is-checks-11-name,is-checks-11-result,is-checks-12-name,is-checks-12-result,is-checks-13-name,is-checks-13-result,is-checks-14-name,is-checks-14-result,is-checks-14-value,is-checks-14-limit,is-checks-15-name,is-checks-15-result,is-checks-15-competitions-0-id,is-checks-15-competitions-0-name,is-checks-16-result,is-checks-16-name,is-checks-16-effective,is-checks-16-multiplier,is-checks-16-pyramids-0-name,is-checks-16-pyramids-0-multiplier,is-checks-17-result,is-checks-17-name,is-checks-17-themes-0-id,is-checks-17-themes-0-multiplier,is-checks-17-themes-0-name,is-checks-17-themes-1-id,is-checks-17-themes-1-multiplier,is-checks-17-themes-1-name,is-checks-17-themes-2-id,is-checks-17-themes-2-multiplier,is-checks-17-themes-2-name,is-checks-17-themes-3-id,is-checks-17-themes-3-multiplier,is-checks-17-themes-3-name,is-checks-17-themes-4-id,is-checks-17-themes-4-multiplier,is-checks-17-themes-4-name,is-checks-17-themes-5-id,is-checks-17-themes-5-multiplier,is-checks-17-themes-5-name,os,train,test,prod,competitions,themes,pyramids,pyramidThemes,team,osmosisPoints,is-checks-16-competitions-0-id,is-checks-16-competitions-0-name,is-checks-17-effective,is-checks-17-multiplier,is-checks-17-pyramids-0-name,is-checks-17-pyramids-0-multiplier,is-checks-18-result,is-checks-18-name,is-checks-18-themes-0-id,is-checks-18-themes-0-multiplier,is-checks-18-themes-0-name,is-checks-18-themes-1-id,is-checks-18-themes-1-multiplier,is-checks-18-themes-1-name,is-checks-18-themes-2-id,is-checks-18-themes-2-multiplier,is-checks-18-themes-2-name,is-checks-18-themes-3-id,is-checks-18-themes-3-multiplier,is-checks-18-themes-3-name,is-checks-18-themes-4-id,is-checks-18-themes-4-multiplier,is-checks-18-themes-4-name,is-checks-18-themes-5-id,is-checks-18-themes-5-multiplier,is-checks-18-themes-5-name
Vkw961N8,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_delta(revenue, 252), assets)",,2,2026-02-02T04:23:51-05:00,,2026-02-02T04:23:52-05:00,,False,False,,,ace_tag,llm_test,confidence_0.82,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,5430704,20000000,1402,1648,0.1066,0.0525,0.5321,0.000985,0.27,0.17,2014-01-01,8129724.0,20000000.0,1343.0,1709.0,0.0851,0.0786,0.4754,0.001847,0.4,0.51,3056888.0,20000000.0,1402.0,1648.0,0.1066,0.0295,0.7397,0.000554,0.09,0.19,LOW_SHARPE,FAIL,1.58,0.27,LOW_FITNESS,FAIL,1.0,0.17,LOW_ASI_JPN_SHARPE,FAIL,1,-0.24,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,0.19,0.51,LOW_TURNOVER,PASS,0.01,0.1066,HIGH_TURNOVER,PASS,0.7,0.1066,CONCENTRATED_WEIGHT,FAIL,2019-05-24,0.1,0.491238,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.08,-0.31,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,0.24,-0.09,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,0.0473,-0.0164,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.08,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XP8rmAP,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_delta(income, 252), equity)",,2,2026-02-02T04:23:50-05:00,,2026-02-02T04:23:51-05:00,,False,False,,,ace_tag,llm_test,confidence_0.8,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-1180340,20000000,1581,1568,0.0867,-0.0114,0.5741,-0.000263,-0.08,-0.02,2014-01-01,891173.0,20000000.0,1615.0,1537.0,0.071,0.0086,0.6141,0.000243,0.02,0.07,-3942858.0,20000000.0,1581.0,1568.0,0.0867,-0.0381,0.593,-0.000879,-0.17,-0.3,LOW_SHARPE,FAIL,1.58,-0.08,LOW_FITNESS,FAIL,1.0,-0.02,LOW_ASI_JPN_SHARPE,FAIL,1,0.33,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,-0.06,0.07,LOW_TURNOVER,PASS,0.01,0.0867,HIGH_TURNOVER,PASS,0.7,0.0867,CONCENTRATED_WEIGHT,FAIL,2023-11-17,0.1,0.496019,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.02,0.19,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,PASS,0.9,-0.07,0.1,LOW_ROBUST_UNIVERSE_RETURNS,PASS,0.9,-0.0103,0.015,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.31,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O0wYrOpY,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_delta(cashflow_op, 252), debt)",,2,2026-02-02T04:24:03-05:00,,2026-02-02T04:24:03-05:00,,False,False,,,ace_tag,llm_test,confidence_0.78,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1507391,20000000,1324,1469,0.0809,0.0146,0.5199,0.00036,0.09,0.03,2014-01-01,2436092.0,20000000.0,1355.0,1443.0,0.0701,0.0235,0.2735,0.000671,0.07,0.17,386553.0,20000000.0,1324.0,1469.0,0.0809,0.0037,0.4887,9.2e-05,0.01,0.03,LOW_SHARPE,FAIL,1.58,0.09,LOW_FITNESS,FAIL,1.0,0.03,LOW_ASI_JPN_SHARPE,FAIL,1,-0.4,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,0.06,0.17,LOW_TURNOVER,PASS,0.01,0.0809,HIGH_TURNOVER,PASS,0.7,0.0809,CONCENTRATED_WEIGHT,FAIL,2022-08-31,0.1,0.498774,LOW_SUB_UNIVERSE_SHARPE,PASS,0.03,0.11,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,0.08,-0.1,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,0.0131,-0.015,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.78,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rK635YWm,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_delta(ebitda, 252), revenue)",,2,2026-02-02T04:24:02-05:00,,2026-02-02T04:24:03-05:00,,False,False,,,ace_tag,llm_test,confidence_0.79,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,5892229,20000000,1749,1236,0.0723,0.0569,0.7468,0.001575,0.19,0.13,2014-01-01,8275609.0,20000000.0,1745.0,1244.0,0.0659,0.08,0.5779,0.002427,0.23,0.29,4417271.0,20000000.0,1749.0,1236.0,0.0723,0.0427,0.7039,0.001181,0.09,0.16,LOW_SHARPE,FAIL,1.58,0.19,LOW_FITNESS,FAIL,1.0,0.13,LOW_ASI_JPN_SHARPE,FAIL,1,0.23,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,0.13,0.29,LOW_TURNOVER,PASS,0.01,0.0723,HIGH_TURNOVER,PASS,0.7,0.0723,CONCENTRATED_WEIGHT,FAIL,2023-03-30,0.1,0.448408,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.06,-0.02,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,0.17,0.15,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,0.0512,0.0311,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.19,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xAw6YqQN,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_delta(eps, 252), bookvalue_ps)",,2,2026-02-02T04:24:00-05:00,,2026-02-02T04:24:01-05:00,,False,False,,,ace_tag,llm_test,confidence_0.81,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-10081584,20000000,1566,1579,0.0806,-0.0974,2.1904,-0.002419,-0.43,-0.38,2014-01-01,-6595614.0,20000000.0,1581.0,1566.0,0.0687,-0.0637,2.1755,-0.001855,-0.2,-0.28,-11535826.0,20000000.0,1566.0,1579.0,0.0806,-0.1115,2.0335,-0.002768,-0.51,-0.54,LOW_SHARPE,FAIL,1.58,-0.43,LOW_FITNESS,FAIL,1.0,-0.38,LOW_ASI_JPN_SHARPE,FAIL,1,0.63,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,-0.3,-0.28,LOW_TURNOVER,PASS,0.01,0.0806,HIGH_TURNOVER,PASS,0.7,0.0806,CONCENTRATED_WEIGHT,FAIL,2023-08-23,0.1,0.499968,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.13,0.08,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,PASS,0.9,-0.39,-0.01,LOW_ROBUST_UNIVERSE_RETURNS,PASS,0.9,-0.0877,-0.002,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,1.02,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pwJXPY5o,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_delta(sales, 252), inventory)",,2,2026-02-02T04:23:50-05:00,,2026-02-02T04:23:51-05:00,,False,False,,,ace_tag,llm_test,confidence_0.75,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,344218,20000000,1058,1627,0.0724,0.0033,0.5016,9.2e-05,0.02,0.0,2014-01-01,-3013256.0,20000000.0,1240.0,1447.0,0.0527,-0.0291,0.7513,-0.001106,-0.09,-0.19,-170302.0,20000000.0,1058.0,1627.0,0.0724,-0.0016,0.4754,-4.5e-05,-0.0,-0.01,LOW_SHARPE,FAIL,1.58,0.02,LOW_FITNESS,FAIL,1.0,0.0,LOW_ASI_JPN_SHARPE,FAIL,1,-0.19,LOW_INVESTABILITY_CONSTRAINED_SHARPE,FAIL,0.01,-0.19,LOW_TURNOVER,PASS,0.01,0.0724,HIGH_TURNOVER,PASS,0.7,0.0724,CONCENTRATED_WEIGHT,FAIL,2021-04-16,0.1,0.491554,LOW_SUB_UNIVERSE_SHARPE,PASS,0.01,0.02,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,0.02,-0.03,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,0.003,-0.0052,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.81,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qMk1W9pV,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"multiply(ts_delta(inventory_turnover, 252), ts_delta(sales, 252))",,3,2026-02-02T04:23:54-05:00,,2026-02-02T04:23:55-05:00,,False,False,,,ace_tag,llm_test,confidence_0.74,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-3183076,20000000,696,1967,0.1175,-0.0308,0.7205,-0.000524,-0.18,-0.09,2014-01-01,2768553.0,20000000.0,952.0,1713.0,0.0738,0.0268,0.3581,0.000725,0.08,0.18,-2158939.0,20000000.0,696.0,1967.0,0.1175,-0.0209,0.5596,-0.000355,-0.06,-0.14,LOW_SHARPE,FAIL,1.58,-0.18,LOW_FITNESS,FAIL,1.0,-0.09,LOW_ASI_JPN_SHARPE,FAIL,1,-0.21,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,-0.13,0.18,LOW_TURNOVER,PASS,0.01,0.1175,HIGH_TURNOVER,PASS,0.7,0.1175,CONCENTRATED_WEIGHT,FAIL,2022-04-05,0.1,0.500003,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.05,-0.02,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,-0.16,-0.2,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,-0.0277,-0.028,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.13,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPlW1Ob9,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_delta(operating_margin, 252)",,1,2026-02-02T04:24:01-05:00,,2026-02-02T04:24:02-05:00,,False,False,,,ace_tag,llm_test,confidence_0.76,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-173164,20000000,1525,1484,0.0475,-0.0017,0.9694,-7e-05,-0.01,-0.0,2014-01-01,-690634.0,20000000.0,1620.0,1391.0,0.0506,-0.0067,0.9468,-0.000264,-0.0,-0.02,-454456.0,20000000.0,1525.0,1484.0,0.0475,-0.0044,0.8701,-0.000185,-0.0,-0.01,LOW_SHARPE,FAIL,1.58,-0.01,LOW_FITNESS,FAIL,1.0,-0.0,LOW_ASI_JPN_SHARPE,FAIL,1,-0.27,LOW_INVESTABILITY_CONSTRAINED_SHARPE,FAIL,-0.01,-0.02,LOW_TURNOVER,PASS,0.01,0.0475,HIGH_TURNOVER,PASS,0.7,0.0475,CONCENTRATED_WEIGHT,FAIL,2019-03-20,0.1,0.350756,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.0,-0.05,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,-0.01,-0.13,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,-0.0015,-0.031,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.27,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e78p9qKJ,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(divide(ts_delta(revenue, 252), revenue), divide(ts_delta(capex, 252), capex))",,5,2026-02-02T04:26:46-05:00,,2026-02-02T04:26:47-05:00,,False,False,,,ace_tag,llm_test,confidence_0.73,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,6055562,20000000,896,2061,0.0838,0.0585,0.2384,0.001396,0.41,0.28,2014-01-01,2563606.0,20000000.0,1000.0,1961.0,0.0695,0.0248,0.2385,0.000713,0.09,0.2,6343153.0,20000000.0,896.0,2061.0,0.0838,0.0613,0.2396,0.001462,0.34,0.48,LOW_SHARPE,FAIL,1.58,0.41,LOW_FITNESS,FAIL,1.0,0.28,LOW_ASI_JPN_SHARPE,FAIL,1,-0.2,LOW_INVESTABILITY_CONSTRAINED_SHARPE,FAIL,0.29,0.2,LOW_TURNOVER,PASS,0.01,0.0838,HIGH_TURNOVER,PASS,0.7,0.0838,CONCENTRATED_WEIGHT,FAIL,2021-12-17,0.1,0.499936,LOW_SUB_UNIVERSE_SHARPE,PASS,0.12,0.21,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,FAIL,0.9,0.37,0.18,LOW_ROBUST_UNIVERSE_RETURNS,FAIL,0.9,0.0527,0.0237,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,1.3,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vRnqkzJG,REGULAR,PS40111,EQUITY,ASI,MINVOL1M,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_delta(return_equity, 252)",,1,2026-02-02T04:26:35-05:00,,2026-02-02T04:26:36-05:00,,False,False,,,ace_tag,llm_test,confidence_0.8,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,4175577,20000000,1617,1529,0.0779,0.0404,0.3517,0.001036,0.29,0.16,2014-01-01,5426233.0,20000000.0,1616.0,1533.0,0.0623,0.0524,0.3976,0.001683,0.26,0.4,1187387.0,20000000.0,1617.0,1529.0,0.0779,0.0115,0.329,0.000295,0.03,0.09,LOW_SHARPE,FAIL,1.58,0.29,LOW_FITNESS,FAIL,1.0,0.16,LOW_ASI_JPN_SHARPE,FAIL,1,0.55,LOW_INVESTABILITY_CONSTRAINED_SHARPE,PASS,0.2,0.4,LOW_TURNOVER,PASS,0.01,0.0779,HIGH_TURNOVER,PASS,0.7,0.0779,CONCENTRATED_WEIGHT,FAIL,2023-11-16,0.1,0.492703,LOW_SUB_UNIVERSE_SHARPE,PASS,0.09,0.22,LOW_ROBUST_UNIVERSE_SHARPE.WITH_RATIO,PASS,0.9,0.26,0.33,LOW_ROBUST_UNIVERSE_RETURNS,PASS,0.9,0.0364,0.0478,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.01,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,ASI/D1/FUNDAMENTAL,1.1,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
