id,type,author,settings-instrumentType,settings-region,settings-universe,settings-delay,settings-decay,settings-neutralization,settings-truncation,settings-pasteurization,settings-unitHandling,settings-nanHandling,settings-maxTrade,settings-language,settings-visualization,settings-startDate,settings-endDate,regular-code,regular-description,regular-operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags-0,tags-1,tags-2,classifications-0-id,classifications-0-name,grade,stage,status,is-pnl,is-bookSize,is-longCount,is-shortCount,is-turnover,is-returns,is-drawdown,is-margin,is-sharpe,is-fitness,is-startDate,is-investabilityConstrained-pnl,is-investabilityConstrained-bookSize,is-investabilityConstrained-longCount,is-investabilityConstrained-shortCount,is-investabilityConstrained-turnover,is-investabilityConstrained-returns,is-investabilityConstrained-drawdown,is-investabilityConstrained-margin,is-investabilityConstrained-fitness,is-investabilityConstrained-sharpe,is-riskNeutralized-pnl,is-riskNeutralized-bookSize,is-riskNeutralized-longCount,is-riskNeutralized-shortCount,is-riskNeutralized-turnover,is-riskNeutralized-returns,is-riskNeutralized-drawdown,is-riskNeutralized-margin,is-riskNeutralized-fitness,is-riskNeutralized-sharpe,is-checks-0-name,is-checks-0-result,is-checks-0-limit,is-checks-0-value,is-checks-1-name,is-checks-1-result,is-checks-1-limit,is-checks-1-value,is-checks-2-name,is-checks-2-result,is-checks-2-limit,is-checks-2-value,is-checks-3-name,is-checks-3-result,is-checks-3-limit,is-checks-3-value,is-checks-4-name,is-checks-4-result,is-checks-5-name,is-checks-5-result,is-checks-5-limit,is-checks-5-value,is-checks-6-name,is-checks-6-result,is-checks-7-name,is-checks-7-result,is-checks-8-name,is-checks-8-result,is-checks-9-name,is-checks-9-result,is-checks-10-name,is-checks-10-result,is-checks-10-value,is-checks-10-limit,is-checks-11-name,is-checks-11-result,is-checks-11-competitions-0-id,is-checks-11-competitions-0-name,is-checks-12-result,is-checks-12-name,is-checks-12-effective,is-checks-12-multiplier,is-checks-12-pyramids-0-name,is-checks-12-pyramids-0-multiplier,is-checks-13-result,is-checks-13-name,is-checks-13-themes-0-id,is-checks-13-themes-0-multiplier,is-checks-13-themes-0-name,is-checks-13-themes-1-id,is-checks-13-themes-1-multiplier,is-checks-13-themes-1-name,is-checks-13-themes-2-id,is-checks-13-themes-2-multiplier,is-checks-13-themes-2-name,is-checks-13-themes-3-id,is-checks-13-themes-3-multiplier,is-checks-13-themes-3-name,is-checks-13-themes-4-id,is-checks-13-themes-4-multiplier,is-checks-13-themes-4-name,is-checks-13-themes-5-id,is-checks-13-themes-5-multiplier,is-checks-13-themes-5-name,os,train,test,prod,competitions,themes,pyramids,pyramidThemes,team,osmosisPoints,is-checks-4-date,is-checks-4-limit,is-checks-4-value
58798GPo,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(vec_avg(nws17_comp_d1_acb)),,2,2026-02-05T13:17:03-05:00,,2026-02-05T13:17:04-05:00,,False,False,,,ace_tag,llm_test,confidence_0.6,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,720958,20000000,98,321,1.713,0.007,0.1632,8e-06,0.12,0.01,2014-01-01,95464.0,20000000.0,324.0,769.0,0.2504,0.0009,0.2666,7e-06,0.0,0.01,-1112182.0,20000000.0,98.0,321.0,1.713,-0.0108,0.1864,-1.3e-05,-0.02,-0.2,LOW_SHARPE,FAIL,1.58,0.12,LOW_FITNESS,FAIL,1.0,0.01,LOW_TURNOVER,PASS,0.01,1.713,HIGH_TURNOVER,FAIL,0.7,1.713,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,PASS,0.06,0.3,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.88,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,,,
2rqRr9zZ,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(vec_avg(nws17_comp_d1_ssc)),,2,2026-02-05T13:17:06-05:00,,2026-02-05T13:17:06-05:00,,False,False,,,ace_tag,llm_test,confidence_0.5,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,707538,20000000,233,292,1.6257,0.0069,0.0745,8e-06,0.15,0.01,2014-01-01,840720.0,20000000.0,532.0,534.0,0.2552,0.0081,0.1606,6.4e-05,0.03,0.16,-192983.0,20000000.0,233.0,292.0,1.6257,-0.0019,0.0823,-2e-06,-0.0,-0.05,LOW_SHARPE,FAIL,1.58,0.15,LOW_FITNESS,FAIL,1.0,0.01,LOW_TURNOVER,PASS,0.01,1.6257,HIGH_TURNOVER,FAIL,0.7,1.6257,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,PASS,0.08,0.45,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.18,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,,,
QPrjPOjG,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"zscore(multiply(vec_avg(nws17_comp_d1_acb), vec_avg(nws17_multiple_comp_d1_relevance)))",,4,2026-02-05T13:17:09-05:00,,2026-02-05T13:17:09-05:00,,False,False,,,ace_tag,llm_test,confidence_0.64,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1742825,20000000,92,328,1.7744,0.0169,0.2706,1.9e-05,0.2,0.02,2014-01-01,-718241.0,20000000.0,283.0,858.0,0.2373,-0.007,0.3998,-5.9e-05,-0.01,-0.07,1249347.0,20000000.0,92.0,328.0,1.7744,0.0121,0.2518,1.4e-05,0.01,0.16,LOW_SHARPE,FAIL,1.58,0.2,LOW_FITNESS,FAIL,1.0,0.02,LOW_TURNOVER,PASS,0.01,1.7744,HIGH_TURNOVER,FAIL,0.7,1.7744,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,0.1,0.4,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.05,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,2020-12-28,0.1,0.145975
j2lX2P1E,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"zscore(multiply(vec_avg(nws17_comp_d1_ssc), vec_avg(nws17_multiple_comp_d1_relevance)))",,4,2026-02-05T13:17:25-05:00,,2026-02-05T13:17:26-05:00,,False,False,,,ace_tag,llm_test,confidence_0.56,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,391122,20000000,182,344,1.6959,0.0038,0.2086,4e-06,0.06,0.0,2014-01-01,1481488.0,20000000.0,454.0,636.0,0.2494,0.0144,0.1471,0.000115,0.05,0.22,-729676.0,20000000.0,182.0,344.0,1.6959,-0.0071,0.1736,-8e-06,-0.01,-0.14,LOW_SHARPE,FAIL,1.58,0.06,LOW_FITNESS,FAIL,1.0,0.0,LOW_TURNOVER,PASS,0.01,1.6959,HIGH_TURNOVER,FAIL,0.7,1.6959,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,PASS,0.03,0.08,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.98,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,,,
YPwmPlOl,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"zscore(ts_returns(vec_avg(nws17_comp_d1_acb), 5))",,3,2026-02-05T13:17:01-05:00,,2026-02-05T13:17:02-05:00,,False,False,,,ace_tag,llm_test,confidence_0.52,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,534822,20000000,20,26,1.667,0.0052,0.3284,6e-06,0.05,0.0,2014-01-01,-2135992.0,20000000.0,90.0,137.0,0.3233,-0.0207,0.4279,-0.000128,-0.04,-0.16,1520231.0,20000000.0,20.0,26.0,1.667,0.0147,0.2422,1.8e-05,0.02,0.16,LOW_SHARPE,FAIL,1.58,0.05,LOW_FITNESS,FAIL,1.0,0.0,LOW_TURNOVER,PASS,0.01,1.667,HIGH_TURNOVER,FAIL,0.7,1.667,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,0.03,0.43,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.29,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,2022-01-03,0.1,0.5
A1Jb1ede,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"zscore(ts_returns(vec_avg(nws17_comp_d1_ssc), 5))",,3,2026-02-05T13:17:07-05:00,,2026-02-05T13:17:08-05:00,,False,False,,,ace_tag,llm_test,confidence_0.45,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,239841,20000000,84,102,1.7864,0.0023,0.447,3e-06,0.02,0.0,2014-01-01,33876.0,20000000.0,236.0,277.0,0.3071,0.0003,0.447,2e-06,0.0,0.0,308968.0,20000000.0,84.0,102.0,1.7864,0.003,0.349,3e-06,0.0,0.03,LOW_SHARPE,FAIL,1.58,0.02,LOW_FITNESS,FAIL,1.0,0.0,LOW_TURNOVER,PASS,0.01,1.7864,HIGH_TURNOVER,FAIL,0.7,1.7864,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.01,-0.1,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.01,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,2023-04-14,0.1,0.5
xAwQAlLW,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"zscore(ts_av_diff(vec_avg(nws17_comp_d1_acb), 10))",,3,2026-02-05T13:17:03-05:00,,2026-02-05T13:17:03-05:00,,False,False,,,ace_tag,llm_test,confidence_0.58,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,463506,20000000,248,268,1.664,0.0045,0.1011,5e-06,0.09,0.0,2014-01-01,-2544923.0,20000000.0,524.0,552.0,0.2694,-0.0247,0.3218,-0.000183,-0.12,-0.39,-1162400.0,20000000.0,248.0,268.0,1.664,-0.0113,0.158,-1.4e-05,-0.02,-0.25,LOW_SHARPE,FAIL,1.58,0.09,LOW_FITNESS,FAIL,1.0,0.0,LOW_TURNOVER,PASS,0.01,1.664,HIGH_TURNOVER,FAIL,0.7,1.664,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,PASS,0.05,0.2,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.22,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,,,
e78K7V2g,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"zscore(ts_av_diff(vec_avg(nws17_comp_d1_ssc), 10))",,3,2026-02-05T13:17:24-05:00,,2026-02-05T13:17:24-05:00,,False,False,,,ace_tag,llm_test,confidence_0.48,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-620687,20000000,256,274,1.6842,-0.006,0.1159,-7e-06,-0.14,-0.01,2014-01-01,-2196321.0,20000000.0,533.0,528.0,0.2821,-0.0213,0.3591,-0.000151,-0.11,-0.39,-935549.0,20000000.0,256.0,274.0,1.6842,-0.0091,0.1693,-1.1e-05,-0.02,-0.24,LOW_SHARPE,FAIL,1.58,-0.14,LOW_FITNESS,FAIL,1.0,-0.01,LOW_TURNOVER,PASS,0.01,1.6842,HIGH_TURNOVER,FAIL,0.7,1.6842,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.07,0.15,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.35,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,,,
vRn9RbJa,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(vec_stddev(nws17_comp_d1_acb)),,2,2026-02-05T13:18:53-05:00,,2026-02-05T13:18:54-05:00,,False,False,,,ace_tag,llm_test,confidence_0.42,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1817989,20000000,69,179,1.5223,0.0176,0.1312,2.3e-05,0.31,0.03,2014-01-01,1925491.0,20000000.0,282.0,506.0,0.2537,0.0187,0.1394,0.000147,0.08,0.28,627557.0,20000000.0,69.0,179.0,1.5223,0.0061,0.1094,8e-06,0.01,0.13,LOW_SHARPE,FAIL,1.58,0.31,LOW_FITNESS,FAIL,1.0,0.03,LOW_TURNOVER,PASS,0.01,1.5223,HIGH_TURNOVER,FAIL,0.7,1.5223,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,0.16,0.26,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.42,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,2017-01-02,0.1,0.129471
ZYwxY9Wd,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(vec_stddev(nws17_comp_d1_ssc)),,2,2026-02-05T13:18:54-05:00,,2026-02-05T13:18:54-05:00,,False,False,,,ace_tag,llm_test,confidence_0.4,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1095295,20000000,140,178,1.5919,0.0106,0.1991,1.3e-05,0.19,0.02,2014-01-01,1396351.0,20000000.0,322.0,468.0,0.2614,0.0135,0.1163,0.000104,0.05,0.2,-536897.0,20000000.0,140.0,178.0,1.5919,-0.0052,0.2335,-7e-06,-0.01,-0.11,LOW_SHARPE,FAIL,1.58,0.19,LOW_FITNESS,FAIL,1.0,0.02,LOW_TURNOVER,PASS,0.01,1.5919,HIGH_TURNOVER,FAIL,0.7,1.5919,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.1,-0.09,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.76,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.5,EUR/D1/NEWS,1.5,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26,,,,,,,,,,,,,
