id,type,author,settings-instrumentType,settings-region,settings-universe,settings-delay,settings-decay,settings-neutralization,settings-truncation,settings-pasteurization,settings-unitHandling,settings-nanHandling,settings-maxTrade,settings-language,settings-visualization,settings-startDate,settings-endDate,regular-code,regular-description,regular-operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags-0,tags-1,tags-2,classifications-0-id,classifications-0-name,grade,stage,status,is-pnl,is-bookSize,is-longCount,is-shortCount,is-turnover,is-returns,is-drawdown,is-margin,is-sharpe,is-fitness,is-startDate,is-investabilityConstrained-pnl,is-investabilityConstrained-bookSize,is-investabilityConstrained-longCount,is-investabilityConstrained-shortCount,is-investabilityConstrained-turnover,is-investabilityConstrained-returns,is-investabilityConstrained-drawdown,is-investabilityConstrained-margin,is-investabilityConstrained-fitness,is-investabilityConstrained-sharpe,is-riskNeutralized-pnl,is-riskNeutralized-bookSize,is-riskNeutralized-longCount,is-riskNeutralized-shortCount,is-riskNeutralized-turnover,is-riskNeutralized-returns,is-riskNeutralized-drawdown,is-riskNeutralized-margin,is-riskNeutralized-fitness,is-riskNeutralized-sharpe,is-checks-0-name,is-checks-0-result,is-checks-0-limit,is-checks-0-value,is-checks-1-name,is-checks-1-result,is-checks-1-limit,is-checks-1-value,is-checks-2-name,is-checks-2-result,is-checks-2-limit,is-checks-2-value,is-checks-3-name,is-checks-3-result,is-checks-3-limit,is-checks-3-value,is-checks-4-name,is-checks-4-result,is-checks-5-name,is-checks-5-result,is-checks-5-limit,is-checks-5-value,is-checks-6-name,is-checks-6-result,is-checks-7-name,is-checks-7-result,is-checks-8-name,is-checks-8-result,is-checks-9-name,is-checks-9-result,is-checks-10-name,is-checks-10-result,is-checks-10-value,is-checks-10-limit,is-checks-11-name,is-checks-11-result,is-checks-11-competitions-0-id,is-checks-11-competitions-0-name,is-checks-12-result,is-checks-12-name,is-checks-12-effective,is-checks-12-multiplier,is-checks-12-pyramids-0-name,is-checks-12-pyramids-0-multiplier,is-checks-13-result,is-checks-13-name,is-checks-13-themes-0-id,is-checks-13-themes-0-multiplier,is-checks-13-themes-0-name,is-checks-13-themes-1-id,is-checks-13-themes-1-multiplier,is-checks-13-themes-1-name,is-checks-13-themes-2-id,is-checks-13-themes-2-multiplier,is-checks-13-themes-2-name,is-checks-13-themes-3-id,is-checks-13-themes-3-multiplier,is-checks-13-themes-3-name,is-checks-13-themes-4-id,is-checks-13-themes-4-multiplier,is-checks-13-themes-4-name,is-checks-13-themes-5-id,is-checks-13-themes-5-multiplier,is-checks-13-themes-5-name,os,train,test,prod,competitions,themes,pyramids,pyramidThemes,team,osmosisPoints,is-checks-4-date,is-checks-4-limit,is-checks-4-value,is-checks-12-competitions-0-id,is-checks-12-competitions-0-name,is-checks-13-effective,is-checks-13-multiplier,is-checks-13-pyramids-0-name,is-checks-13-pyramids-0-multiplier,is-checks-14-result,is-checks-14-name,is-checks-14-themes-0-id,is-checks-14-themes-0-multiplier,is-checks-14-themes-0-name,is-checks-14-themes-1-id,is-checks-14-themes-1-multiplier,is-checks-14-themes-1-name,is-checks-14-themes-2-id,is-checks-14-themes-2-multiplier,is-checks-14-themes-2-name,is-checks-14-themes-3-id,is-checks-14-themes-3-multiplier,is-checks-14-themes-3-name,is-checks-14-themes-4-id,is-checks-14-themes-4-multiplier,is-checks-14-themes-4-name,is-checks-14-themes-5-id,is-checks-14-themes-5-multiplier,is-checks-14-themes-5-name,is-checks-6-message,is-checks-11-value,is-checks-11-limit,is-checks-13-competitions-0-id,is-checks-13-competitions-0-name,is-checks-14-effective,is-checks-14-multiplier,is-checks-14-pyramids-0-name,is-checks-14-pyramids-0-multiplier,is-checks-15-result,is-checks-15-name,is-checks-15-themes-0-id,is-checks-15-themes-0-multiplier,is-checks-15-themes-0-name,is-checks-15-themes-1-id,is-checks-15-themes-1-multiplier,is-checks-15-themes-1-name,is-checks-15-themes-2-id,is-checks-15-themes-2-multiplier,is-checks-15-themes-2-name,is-checks-15-themes-3-id,is-checks-15-themes-3-multiplier,is-checks-15-themes-3-name,is-checks-15-themes-4-id,is-checks-15-themes-4-multiplier,is-checks-15-themes-4-name,is-checks-15-themes-5-id,is-checks-15-themes-5-multiplier,is-checks-15-themes-5-name
E50AMpbr,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(mdl25_21v, mdl25_01v)",,1,2026-02-04T00:57:16-05:00,,2026-02-04T00:57:16-05:00,,False,False,,,ace_tag,llm_test,confidence_0.72,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1066729,20000000,603,1360,0.0606,0.0103,0.1311,0.000341,0.23,0.07,2014-01-01,-404322.0,20000000.0,688.0,1304.0,0.0423,-0.0039,0.2082,-0.000185,-0.02,-0.09,1843129.0,20000000.0,603.0,1360.0,0.0606,0.0179,0.0645,0.00059,0.23,0.6,LOW_SHARPE,FAIL,1.58,0.23,LOW_FITNESS,FAIL,1.0,0.07,LOW_TURNOVER,PASS,0.01,0.0606,HIGH_TURNOVER,PASS,0.7,0.0606,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,0.12,0.23,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.18,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1Jd5Q6W,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(ts_zscore(mdl25_vrv421_71v, 63), ts_zscore(mdl25_vrv421_81v, 63))",,3,2026-02-04T00:57:42-05:00,,2026-02-04T00:57:42-05:00,,False,False,,,ace_tag,llm_test,confidence_0.75,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-569669,20000000,1101,907,1.1873,-0.0055,0.2949,-9e-06,-0.07,-0.0,2014-01-01,-860524.0,20000000.0,1113.0,903.0,0.1675,-0.0083,0.2914,-0.0001,-0.02,-0.1,-329989.0,20000000.0,1101.0,907.0,1.1873,-0.0032,0.2473,-5e-06,-0.0,-0.05,LOW_SHARPE,FAIL,1.58,-0.07,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,1.1873,HIGH_TURNOVER,FAIL,0.7,1.1873,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.04,0.14,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.97,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,2016-01-22,0.1,0.301534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npkbldnz,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(ts_zscore(mdl25_vrv421_91v, 126), ts_zscore(mdl25_vrv421_81v, 126))",,3,2026-02-04T00:57:17-05:00,,2026-02-04T00:57:17-05:00,,False,False,,,ace_tag,llm_test,confidence_0.7,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-849605,20000000,990,1019,0.1827,-0.0082,0.161,-9e-05,-0.2,-0.04,2014-01-01,-896322.0,20000000.0,1000.0,1015.0,0.0672,-0.0087,0.2,-0.000258,-0.06,-0.22,-1153659.0,20000000.0,990.0,1019.0,0.1827,-0.0112,0.1639,-0.000122,-0.09,-0.38,LOW_SHARPE,FAIL,1.58,-0.2,LOW_FITNESS,FAIL,1.0,-0.04,LOW_TURNOVER,PASS,0.01,0.1827,HIGH_TURNOVER,PASS,0.7,0.1827,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.1,-0.16,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.11,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O0wvjNG7,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_returns(mdl25_vrv421_71v, 20)",,1,2026-02-04T00:57:19-05:00,,2026-02-04T00:57:19-05:00,,False,False,,,ace_tag,llm_test,confidence_0.65,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-620558,20000000,1042,1005,0.2308,-0.006,0.4314,-5.2e-05,-0.06,-0.01,2014-01-01,3170986.0,20000000.0,1060.0,999.0,0.0994,0.0307,0.2029,0.000618,0.16,0.32,-2267465.0,20000000.0,1042.0,1005.0,0.2308,-0.022,0.4236,-0.00019,-0.08,-0.25,LOW_SHARPE,FAIL,1.58,-0.06,LOW_FITNESS,FAIL,1.0,-0.01,LOW_TURNOVER,PASS,0.01,0.2308,HIGH_TURNOVER,PASS,0.7,0.2308,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.03,-0.29,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.31,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,2023-10-24,0.1,0.499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9qPQ3EZd,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(mdl25_21v, mdl25_vrv421_81v)",,1,2026-02-04T00:57:40-05:00,,2026-02-04T00:57:40-05:00,,False,False,,,ace_tag,llm_test,confidence_0.73,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-1917350,20000000,916,1016,0.0522,-0.0186,0.3287,-0.000712,-0.26,-0.1,2014-01-01,-3609000.0,20000000.0,906.0,1034.0,0.0353,-0.035,0.4649,-0.001982,-0.25,-0.47,-1510522.0,20000000.0,916.0,1016.0,0.0522,-0.0146,0.2739,-0.000561,-0.08,-0.23,LOW_SHARPE,FAIL,1.58,-0.26,LOW_FITNESS,FAIL,1.0,-0.1,LOW_TURNOVER,PASS,0.01,0.0522,HIGH_TURNOVER,PASS,0.7,0.0522,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.14,-0.3,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.63,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,2015-04-08,0.1,0.157111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88kqZV5W,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(mdl25_01v),,1,2026-02-04T00:58:31-05:00,,2026-02-04T00:58:32-05:00,,False,False,,,ace_tag,llm_test,confidence_0.62,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-864159,20000000,1407,650,0.0584,-0.0084,0.1375,-0.000287,-0.19,-0.05,2014-01-01,979457.0,20000000.0,1340.0,728.0,0.0413,0.0095,0.1009,0.00046,0.06,0.22,-1728324.0,20000000.0,1407.0,650.0,0.0584,-0.0167,0.1781,-0.000574,-0.22,-0.6,LOW_SHARPE,FAIL,1.58,-0.19,LOW_FITNESS,FAIL,1.0,-0.05,LOW_TURNOVER,PASS,0.01,0.0584,HIGH_TURNOVER,PASS,0.7,0.0584,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.1,-0.17,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.13,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d58w6Kdj,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_ir(mdl25_vrv421_81v, 126)",,1,2026-02-04T00:57:44-05:00,,2026-02-04T00:57:45-05:00,,False,False,,,ace_tag,llm_test,confidence_0.68,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,6588638,20000000,869,1161,0.0917,0.0638,0.167,0.001393,0.75,0.54,2014-01-01,4685216.0,20000000.0,900.0,1135.0,0.0483,0.0454,0.1518,0.001882,0.38,0.63,4907053.0,20000000.0,869.0,1161.0,0.0917,0.0475,0.097,0.001037,0.49,0.8,LOW_SHARPE,FAIL,1.58,0.75,LOW_FITNESS,FAIL,1.0,0.54,LOW_TURNOVER,PASS,0.01,0.0917,HIGH_TURNOVER,PASS,0.7,0.0917,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,0.39,0.63,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,1.54,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,2020-04-28,0.1,0.49822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WjwmRLXN,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(mdl25_vrv421_71v, mdl25_vrv421_91v)",,1,2026-02-04T00:57:43-05:00,,2026-02-04T00:57:43-05:00,,False,False,,,ace_tag,llm_test,confidence_0.71,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,6111253,20000000,1154,855,0.1908,0.0592,0.1519,0.000621,0.64,0.36,2014-01-01,4430445.0,20000000.0,1145.0,873.0,0.0528,0.0429,0.1717,0.001626,0.31,0.53,4273817.0,20000000.0,1154.0,855.0,0.1908,0.0414,0.2034,0.000434,0.27,0.57,LOW_SHARPE,FAIL,1.58,0.64,LOW_FITNESS,FAIL,1.0,0.36,LOW_TURNOVER,PASS,0.01,0.1908,HIGH_TURNOVER,PASS,0.7,0.1908,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,0.33,0.48,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,1.13,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,2023-10-24,0.1,0.499948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0rEbbjx,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,quantile(mdl25_vrv421_81v),,1,2026-02-04T00:59:49-05:00,,2026-02-04T00:59:49-05:00,,False,False,,,ace_tag,llm_test,confidence_0.66,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,8010824,20000000,1024,986,0.0325,0.0776,0.0577,0.004782,2.51,1.98,2014-01-01,6854406.0,20000000.0,1019.0,999.0,0.0223,0.0664,0.0709,0.005962,1.54,2.11,3513325.0,20000000.0,1024.0,986.0,0.0325,0.034,0.0194,0.002097,0.99,1.89,LOW_SHARPE,PASS,1.58,2.51,LOW_FITNESS,PASS,1.0,1.98,LOW_TURNOVER,PASS,0.01,0.0325,HIGH_TURNOVER,PASS,0.7,0.0325,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,1.3,1.18,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,PASS,2.29,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vkwobk7V,REGULAR,PS40111,EQUITY,EUR,TOP2500,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"add(zscore(mdl25_21v), zscore(mdl25_vrv421_71v))",,3,2026-02-04T01:01:22-05:00,,2026-02-04T01:01:22-05:00,,False,False,,,ace_tag,llm_test,confidence_0.76,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,7870253,20000000,1106,875,0.029,0.0763,0.0753,0.005256,1.8,1.41,2014-01-01,6743413.0,20000000.0,1093.0,896.0,0.0211,0.0653,0.0996,0.006197,1.19,1.65,3060584.0,20000000.0,1106.0,875.0,0.029,0.0297,0.0439,0.002044,0.58,1.18,LOW_SHARPE,PASS,1.58,1.8,LOW_FITNESS,PASS,1.0,1.41,LOW_TURNOVER,PASS,0.01,0.029,HIGH_TURNOVER,PASS,0.7,0.029,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.94,0.88,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,PASS,1.99,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.4,EUR/D1/MODEL,1.4,WARNING,MATCHES_THEMES,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,V45896D,1.0,GLB/D1 TOPDIV3000 Power Pool Feb`26 Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
