id,type,author,settings-instrumentType,settings-region,settings-universe,settings-delay,settings-decay,settings-neutralization,settings-truncation,settings-pasteurization,settings-unitHandling,settings-nanHandling,settings-maxTrade,settings-language,settings-visualization,settings-startDate,settings-endDate,regular-code,regular-description,regular-operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags-0,tags-1,tags-2,classifications-0-id,classifications-0-name,grade,stage,status,is-pnl,is-bookSize,is-longCount,is-shortCount,is-turnover,is-returns,is-drawdown,is-margin,is-sharpe,is-fitness,is-startDate,is-investabilityConstrained-pnl,is-investabilityConstrained-bookSize,is-investabilityConstrained-longCount,is-investabilityConstrained-shortCount,is-investabilityConstrained-turnover,is-investabilityConstrained-returns,is-investabilityConstrained-drawdown,is-investabilityConstrained-margin,is-investabilityConstrained-fitness,is-investabilityConstrained-sharpe,is-riskNeutralized-pnl,is-riskNeutralized-bookSize,is-riskNeutralized-longCount,is-riskNeutralized-shortCount,is-riskNeutralized-turnover,is-riskNeutralized-returns,is-riskNeutralized-drawdown,is-riskNeutralized-margin,is-riskNeutralized-fitness,is-riskNeutralized-sharpe,is-checks-0-name,is-checks-0-result,is-checks-0-limit,is-checks-0-value,is-checks-1-name,is-checks-1-result,is-checks-1-limit,is-checks-1-value,is-checks-2-name,is-checks-2-result,is-checks-2-limit,is-checks-2-value,is-checks-3-name,is-checks-3-result,is-checks-3-limit,is-checks-3-value,is-checks-4-name,is-checks-4-result,is-checks-4-date,is-checks-4-limit,is-checks-4-value,is-checks-5-name,is-checks-5-result,is-checks-5-limit,is-checks-5-value,is-checks-6-name,is-checks-6-result,is-checks-7-name,is-checks-7-result,is-checks-8-name,is-checks-8-result,is-checks-9-name,is-checks-9-result,is-checks-10-name,is-checks-10-result,is-checks-10-value,is-checks-10-limit,is-checks-11-name,is-checks-11-result,is-checks-11-competitions-0-id,is-checks-11-competitions-0-name,is-checks-12-result,is-checks-12-name,is-checks-12-effective,is-checks-12-multiplier,is-checks-12-pyramids-0-name,is-checks-12-pyramids-0-multiplier,is-checks-13-result,is-checks-13-name,is-checks-13-themes-0-id,is-checks-13-themes-0-multiplier,is-checks-13-themes-0-name,is-checks-13-themes-1-id,is-checks-13-themes-1-multiplier,is-checks-13-themes-1-name,os,train,test,prod,competitions,themes,pyramids,pyramidThemes,team,osmosisPoints,is-checks-6-message,is-checks-11-value,is-checks-11-limit,is-checks-12-competitions-0-id,is-checks-12-competitions-0-name,is-checks-13-effective,is-checks-13-multiplier,is-checks-13-pyramids-0-name,is-checks-13-pyramids-0-multiplier,is-checks-14-result,is-checks-14-name,is-checks-14-themes-0-id,is-checks-14-themes-0-multiplier,is-checks-14-themes-0-name,is-checks-14-themes-1-id,is-checks-14-themes-1-multiplier,is-checks-14-themes-1-name
ZYkKbjv1,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_returns(snt_social_value,3)",,1,2026-01-21T21:54:43-05:00,,2026-01-21T21:54:44-05:00,,False,False,,,ace_tag,llm_test,confidence_0.7,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-1952781,20000000,1377,1346,1.6063,-0.0196,0.2506,-2.4e-05,-0.24,-0.03,2014-01-01,-946922.0,20000000.0,1436.0,1297.0,1.0728,-0.0095,0.3061,-1.8e-05,-0.01,-0.15,-2084839.0,20000000.0,1377.0,1346.0,1.6063,-0.0209,0.3022,-2.6e-05,-0.03,-0.27,LOW_SHARPE,FAIL,1.58,-0.24,LOW_FITNESS,FAIL,1.0,-0.03,LOW_TURNOVER,PASS,0.01,1.6063,HIGH_TURNOVER,FAIL,0.7,1.6063,CONCENTRATED_WEIGHT,FAIL,2020-01-08,0.1,0.49986,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.1,-0.29,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.02,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPm9blAw,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_zscore(snt_social_value,20)",,1,2026-01-21T21:53:33-05:00,,2026-01-21T21:53:33-05:00,,False,False,,,ace_tag,llm_test,confidence_0.75,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-94278,20000000,1362,1405,0.4024,-0.0009,0.0981,-5e-06,-0.04,-0.0,2014-01-01,-318672.0,20000000.0,1388.0,1383.0,0.3422,-0.0032,0.0809,-1.9e-05,-0.01,-0.13,-268613.0,20000000.0,1362.0,1405.0,0.4024,-0.0027,0.1069,-1.3e-05,-0.01,-0.16,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,0.4024,HIGH_TURNOVER,PASS,0.7,0.4024,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.02,-0.32,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.26,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Y6zXnAQ,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_av_diff(snt_social_value,10)",,1,2026-01-21T21:53:55-05:00,,2026-01-21T21:53:56-05:00,,False,False,,,ace_tag,llm_test,confidence_0.65,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-342820,20000000,1566,1557,0.4366,-0.0034,0.1028,-1.6e-05,-0.14,-0.01,2014-01-01,-477520.0,20000000.0,1560.0,1569.0,0.3963,-0.0048,0.1091,-2.4e-05,-0.02,-0.18,-75799.0,20000000.0,1566.0,1557.0,0.4366,-0.0008,0.0661,-3e-06,-0.0,-0.04,LOW_SHARPE,FAIL,1.58,-0.14,LOW_FITNESS,FAIL,1.0,-0.01,LOW_TURNOVER,PASS,0.01,0.4366,HIGH_TURNOVER,PASS,0.7,0.4366,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.06,-0.33,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.21,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
omQgL3N2,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"multiply(ts_returns(snt_social_value,5), ts_returns(snt_social_volume,5))",,3,2026-01-21T21:54:11-05:00,,2026-01-21T21:54:11-05:00,,False,False,,,ace_tag,llm_test,confidence_0.72,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-2456451,20000000,1359,1362,1.6703,-0.0246,0.6823,-2.9e-05,-0.19,-0.02,2014-01-01,-1960636.0,20000000.0,1364.0,1366.0,1.1861,-0.0196,0.2392,-3.3e-05,-0.04,-0.28,-1566063.0,20000000.0,1359.0,1362.0,1.6703,-0.0157,0.5872,-1.9e-05,-0.01,-0.12,LOW_SHARPE,FAIL,1.58,-0.19,LOW_FITNESS,FAIL,1.0,-0.02,LOW_TURNOVER,PASS,0.01,1.6703,HIGH_TURNOVER,FAIL,0.7,1.6703,CONCENTRATED_WEIGHT,FAIL,2022-01-14,0.1,0.499244,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.08,-0.06,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.05,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
58NkzqZ5,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"divide(snt_social_value, ts_std_dev(snt_social_value,20))",,2,2026-01-21T21:53:37-05:00,,2026-01-21T21:53:37-05:00,,False,False,,,ace_tag,llm_test,confidence_0.74,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,358388,20000000,1335,1418,0.3858,0.0036,0.0779,1.9e-05,0.11,0.01,2014-01-01,233703.0,20000000.0,1352.0,1406.0,0.3017,0.0023,0.0764,1.6e-05,0.01,0.07,425926.0,20000000.0,1335.0,1418.0,0.3858,0.0043,0.073,2.2e-05,0.02,0.23,LOW_SHARPE,FAIL,1.58,0.11,LOW_FITNESS,FAIL,1.0,0.01,LOW_TURNOVER,PASS,0.01,0.3858,HIGH_TURNOVER,PASS,0.7,0.3858,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.05,-0.4,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.29,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLOdNnGm,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(ts_returns(snt_social_value,10), ts_returns(snt_social_volume,10))",,3,2026-01-21T21:54:34-05:00,,2026-01-21T21:54:35-05:00,,False,False,,,ace_tag,llm_test,confidence_0.68,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,628936,20000000,1429,1289,1.5578,0.0063,0.4507,8e-06,0.06,0.0,2014-01-01,676813.0,20000000.0,1343.0,1385.0,1.0386,0.0068,0.1608,1.3e-05,0.01,0.13,4642478.0,20000000.0,1429.0,1289.0,1.5578,0.0465,0.1902,6e-05,0.09,0.52,LOW_SHARPE,FAIL,1.58,0.06,LOW_FITNESS,FAIL,1.0,0.0,LOW_TURNOVER,PASS,0.01,1.5578,HIGH_TURNOVER,FAIL,0.7,1.5578,CONCENTRATED_WEIGHT,FAIL,2015-06-19,0.1,0.499878,LOW_SUB_UNIVERSE_SHARPE,PASS,0.03,0.18,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.31,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
npw8dOqM,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_arg_max(snt_social_value,7)",,1,2026-01-21T21:53:53-05:00,,2026-01-21T21:53:54-05:00,,False,False,,,ace_tag,llm_test,confidence_0.6,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-1745416,20000000,1677,1439,0.438,-0.0175,0.1961,-8e-05,-0.75,-0.15,2014-01-01,-1494000.0,20000000.0,1534.0,1595.0,0.3352,-0.015,0.1746,-8.9e-05,-0.11,-0.51,-763943.0,20000000.0,1677.0,1439.0,0.438,-0.0077,0.0955,-3.5e-05,-0.07,-0.51,LOW_SHARPE,FAIL,1.58,-0.75,LOW_FITNESS,FAIL,1.0,-0.15,LOW_TURNOVER,PASS,0.01,0.438,HIGH_TURNOVER,PASS,0.7,0.438,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.32,-0.0,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.21,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
qMe6xzYV,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_sum(snt_social_volume,14)",,1,2026-01-21T21:53:30-05:00,,2026-01-21T21:53:31-05:00,,False,False,,,ace_tag,llm_test,confidence_0.66,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,2972085,20000000,1547,1576,0.1459,0.0298,0.1389,0.000408,0.69,0.31,2014-01-01,3429023.0,20000000.0,1630.0,1499.0,0.1365,0.0344,0.1256,0.000504,0.39,0.77,290955.0,20000000.0,1547.0,1576.0,0.1459,0.0029,0.1081,4e-05,0.02,0.14,LOW_SHARPE,FAIL,1.58,0.69,LOW_FITNESS,FAIL,1.0,0.31,LOW_TURNOVER,PASS,0.01,0.1459,HIGH_TURNOVER,PASS,0.7,0.1459,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,PASS,0.3,0.54,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,1.57,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
npw8d2rx,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_ir(ts_returns(snt_social_value,1),20)",,2,2026-01-21T21:56:13-05:00,,2026-01-21T21:56:13-05:00,,False,False,,,ace_tag,llm_test,confidence_0.7,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,376398,20000000,1365,1386,0.2594,0.0038,0.063,2.9e-05,0.17,0.02,2014-01-01,352377.0,20000000.0,1366.0,1391.0,0.1909,0.0035,0.0392,3.7e-05,0.03,0.2,-313081.0,20000000.0,1365.0,1386.0,0.2594,-0.0031,0.0776,-2.4e-05,-0.02,-0.16,LOW_SHARPE,FAIL,1.58,0.17,LOW_FITNESS,FAIL,1.0,0.02,LOW_TURNOVER,PASS,0.01,0.2594,HIGH_TURNOVER,PASS,0.7,0.2594,CONCENTRATED_WEIGHT,FAIL,2014-06-18,0.1,0.198362,LOW_SUB_UNIVERSE_SHARPE,PASS,0.07,0.29,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.3,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
vRavrl1v,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(snt_social_value),,1,2026-01-21T21:56:11-05:00,,2026-01-21T21:56:11-05:00,,False,False,,,ace_tag,llm_test,confidence_0.68,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,868371,20000000,1406,1717,0.352,0.0087,0.0722,4.9e-05,0.25,0.04,2014-01-01,800702.0,20000000.0,1435.0,1694.0,0.2965,0.008,0.0685,5.4e-05,0.04,0.23,443849.0,20000000.0,1406.0,1717.0,0.352,0.0044,0.0477,2.5e-05,0.03,0.24,LOW_SHARPE,FAIL,1.58,0.25,LOW_FITNESS,FAIL,1.0,0.04,LOW_TURNOVER,PASS,0.01,0.352,HIGH_TURNOVER,PASS,0.7,0.352,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.11,-0.11,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.22,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1.0,1.1,USA/D1/SOCIALMEDIA,1.1,WARNING,MATCHES_THEMES,AyE5YRy,2.0,Country Specific Theme,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,,,,,,,,,,,,,,,,,,,,,,,,,,,
